	BMDM_veh_rep1	BMDM_veh_rep2	BMDM_DMHCA_rep1	BMDM_DMHCA_rep2	BMDM_DMHCA_rep3	BMDM_GW_rep1	BMDM_GW_rep2	BMDM_GW_rep3
Gm5087	0.046	0	0	0	0	0	0	0
Dhx35	7.338	7.578	8.837	21.851	0	4.256	0	65.253
Olfr1408	0	0	0	0	0	0	0	0
Zfp821	3.849	4.545	0	0	0	4.361	0	0
Btbd2	15.316	19.291	49.6	21.308	161.525	24.076	0	0
Mtm1	20.212	16.926	0	8.166	89.285	28.923	0	0
Ocrl	12.813	13.108	0	32.249	0	7.976	0	0
Dhrs13	1.46	2.639	0	0	0	0	0	0
Npc1l1	0.039	0.032	0	0	0	0	0	0
Gm38414	0	0	0	0	0	0	0	0
Zdhhc24	6.228	5.765	0	0	0	0	0	0
Mks1	3.035	3.456	0	8.863	113.278	4.899	0	0
Slc30a7	11.543	10.83	0.161	0.42	31.95	14.381	38.332	0
Gm8369	0.456	0.563	0	0	0	0	0	0
Timeless	4.796	7.136	0	31.598	0	3.349	0	0
Slco4a1	206.211	147.953	179.949	141.375	320.451	189.183	222.585	326.572
Txnrd1	133.984	122.151	131.095	60.575	65.107	129.078	213.244	5.733
Ptger2	2.376	2.251	0	0	0	4.114	0	0
Acoxl	0.047	0	0	0	0	0	0	0
Cst3	1588.475	1734.207	3182.732	1946.833	2000.945	1532.924	1809.391	1306.097
Gm16291	0	0	0	0	0	0	0	0
Scaf1	41.25	48.341	72.524	54.453	0	50.419	0	220.021
F13b	0	0	0	0	0	0	0	0
Smim6	0.183	0.151	0	0	0	0	0	0
Gbp3	11.149	7.894	0	2.004	0	4.708	0	68.904
Ccdc7b	0.029	0	0	0	0	0	0	0
2810468N07Rik	0.066	0	0	0	0	0	0	0
Ttc23l	0	0	0	0	0	0	0	0
Prss34	0	0	0	0	0	0	0	0
Prkx	44.375	38.232	1.816	36.632	0	42.794	90.293	100.573
Stat2	65.311	58.634	28.385	89.592	34.821	96.414	59.247	0
Phox2b	0	0	0	0	0	0	0	0
Tbcel	23.777	22.246	0	8.33	0	16.616	0	19.532
Twist2	0.067	0	0	0	0	0	0	0
Mt3	0	0	0	0	0	0	0	0
Zfp512	11.24	11.837	0	14.973	0	2.334	0	0
Gm4216	0	0	0	0	0	0	0	0
Gm7008	0.894	0.184	0	0	0	0	0	0
Raph1	26.921	25.657	11.804	0.415	0	36.675	57.587	18.204
Fbxl8	10.981	13.733	0	13.952	0	17.913	125.811	0
Cenpk	5.082	6.964	0	0	0	0	0	0
Nxnl1	0.289	0.436	0	0	0	0	0	0
Gm10789	0.019	0	0	0	0	0	0	0
Cenpn	11.642	13.569	105.124	0	0	7.404	0	33.34
Slc25a3	342.033	351.632	372.15	427.717	714.788	270.241	781.53	668.364
Agtr1b	0	0	0	0	0	0	0	0
Prl8a2	0	0	0	0	0	0	0	0
Arl6ip1	217.958	226.36	163.822	274.498	270.59	196.86	224.295	178.708
Olfr524	0	0	0	0	0	0	0	0
Gm17750	0	0	0	0	0	0	0	0
Tnfrsf13b	7.584	10.977	0	60.87	0	0	0	0
Gtpbp4	20.95	18.61	0	0.742	0	19.814	0	0
Olfr361	0	0	0	0	0	0	0	0
Elovl6	2.508	2.919	0	0	0	1.793	0	0
Coa7	4.571	4.649	0	5.923	0	5.683	0	0
Kndc1	0	0.005	0	0	0	0	0	0
Shisa3	0	0	0	0	0	0	0	0
Dgkq	10.313	11.367	0	0	0	10.249	0	0
Acsl5	88.319	87.265	23.679	70.698	146.891	72.197	61.227	3.117
Dock5	16.287	16.23	27.82	0	9.689	17.878	0	38.868
A730081D07Rik	0.794	0.491	0	0	0	0	0	5.439
Prr14l	10.289	9.975	13.37	14.53	17.864	9.61	0	24.984
Alg8	14.157	15.049	0.731	0	0	8.467	0	0
Nfatc2ip	9.956	10.606	0	16.221	103.211	10.005	0	0
Cnnm4	10.623	12.334	0	1.24	0	8.155	0	51.151
Tmem106c	28.526	31.527	45.566	25.581	197.524	15.368	142.93	377.862
Plscr2	0.047	0.078	0	0	0	0	0	0
Ndufa4l2	0	0.038	0	0	0	0	0	0
Adh4	0	0	0	0	0	0	0	0
Slc6a12	40.869	25.034	81.688	61.461	0	21.369	0	0
Krtap4-2	0	0	0	0	0	0	0	0
Ugt2b1	0	0	0	0	0	0	0	0
