,V1
879,Tmem186
880,Dusp23
881,Haspin
882,Glrx5
883,Skp2
884,Thumpd3
885,Hint3
886,Mrpl13
887,Tmem185a
888,Gk
889,Rdh14
890,Fads2
891,Sap25
892,Aak1
893,Slc12a7
894,Polr2f
895,Ccz1
896,BC017158
897,Flad1
898,Neurl2
899,Smim27
900,Timm10
901,Ccdc84
902,Cops5
903,Mrpl47
904,Zscan29
905,Ncapg
906,Gatd1
907,Impdh2
908,Dpm3
909,Rpia
910,Timm9
911,Kifc3
912,Tbc1d10a
913,Wdr53
914,Pole4
915,Rlf
916,Rps6kc1
917,Cdc34
918,Slc2a9
919,Diablo
920,Klc2
921,Pop7
922,Nsun3
923,Wdr5
924,AU019823
925,Tmem171
926,Lcorl
927,Sirt1
928,Gm12522
929,Dyrk1b
930,Bag4
931,Ss18l2
932,Zfp148
933,Prrg2
934,Higd2a
935,Nup54
936,Thra
937,Gpn3
938,Gtpbp4
939,Dgkq
940,Alg8
941,Cnnm4
942,Polr2h
943,Spry2
944,Prmt3
945,Mtmr10
946,Denr
947,Tapbpl
948,Klhdc4
949,Cytip
950,Exosc7
951,Mis12
952,Gpr89
953,Smpd2
954,Znhit1
955,Zfp217
956,Mitd1
957,Dsn1
958,Cactin
959,Tspan32
960,Thoc1
961,Tmem101
962,Rbm3os
963,Psph
964,Sertad3
965,Nae1
966,Dnajc12
967,Rft1
968,Lpcat4
969,Cep128
970,Ctsz
971,Supt4b
972,Zc3hc1
973,Urm1
974,Svbp
975,Nbn
976,Rnf214
977,Dmtf1
978,Tusc1
979,Parl
980,Zbtb1
981,Procr
982,Smg7
983,Mrps28
984,Arl1
985,Gdap2
986,Xrcc4
987,Fmr1
988,Msra
989,Cdpf1
990,Pigf
991,Kin
992,Eef1akmt4
993,Triobp
994,Cd300lf
995,Serinc5
996,Alg3
997,3830406C13Rik
998,Pold2
999,Rhov
1000,Fbxo6
1001,Parp6
1002,Tmem185b
1003,Nfxl1
1004,Cops7b
1005,Dubr
1006,March7
1007,Zscan25
1008,Gcdh
1009,Hspa4l
1010,Slc46a1
1011,Mettl6
1012,9130011E15Rik
1013,Aarsd1
1014,Slirp
1015,Fam213a
1016,Klhl2
1017,Fbxl6
1018,Trip10
1019,Rel
1020,Crcp
1021,Mxd1
1022,Ccdc9
1023,Banf1
1024,Zfp688
1025,Dusp12
1026,Elovl1
1027,Mrpl52
1028,D10Wsu102e
1029,Gadd45b
1030,Ngrn
1031,Tpst1
1032,Naip7
1033,Gm10336
1034,Mettl27
1035,Nfe2l2
1036,Katnbl1
1037,Setdb2
1038,Yars2
1039,Aes
1040,Gm15501
1041,Trim32
1042,Clcn5
1043,Khsrp
1044,Acat2
1045,Plin3
1046,1700113A16Rik
1047,Twistnb
1048,Pbk
1049,Uspl1
1050,Gda
1051,Vps50
1052,Tmem237
1053,Cdk8
1054,1700037H04Rik
1055,Psmg3
1056,Ddx50
1057,Lage3
1058,Tusc2
1059,9430015G10Rik
1060,Ang
1061,Yaf2
1062,Erich1
1063,Hsph1
1064,Trmt112
1065,Smndc1
1066,Nsmce1
1067,Pdgfa
1068,Mapk1ip1
1069,Knl1
1070,Ermp1
1071,Mrpl14
1072,Ndufs5
1073,Rbm38
1074,Phf13
1075,Ralgds
1076,Dok3
1077,Otud7b
1078,Mlkl
1079,Cd93
1080,Hsdl2
1081,Rabep2
1082,Pdcd2
1083,Tlk2
1084,Fbxo5
1085,Rrp15
1086,Slc37a4
1087,Cpq
1088,Ndufc1
1089,Gm16731
1090,Spag7
1091,Odf2
1092,Gss
1093,Pfdn6
1094,Alkbh3
1095,Zfp954
1096,Hibch
1097,Sqle
1098,Naa35
1099,9530027J09Rik
1100,Tpcn2
1101,Gamt
1102,Faap20
1103,Paqr3
1104,Tfpt
1105,Coa6
1106,Rcn2
1107,Rbbp8
1108,Ulbp1
1109,Cpt2
1110,Rpp21
1111,Recql
1112,Nfkbid
1113,Fam8a1
1114,1110059E24Rik
1115,Msantd4
1116,Mrpl54
1117,Hirip3
1118,Aatf
1119,Dmap1
1120,Prrg4
1121,Hmg20b
1122,Tuba1a
1123,Ska3
1124,Mrpl41
1125,Snx25
1126,Pkd2l2
1127,Rnf34
1128,Rce1
1129,Slc2a3
1130,Pcgf5
1131,A830035O19Rik
1132,Smg6
1133,Zfand2b
1134,Dnajc15
1135,Irf5
1136,Chst12
1137,Rpl13
1138,Cstf1
1139,Tmem258
1140,Mdp1
1141,Card14
1142,Melk
1143,Tapt1
1144,Il3ra
1145,Rsrc1
1146,Hdac6
1147,Gm16712
1148,1810009A15Rik
1149,Tob1
1150,Fam241a
1151,Pira2
1152,1700034P13Rik
1153,Hagh
1154,Utp4
1155,Sra1
1156,Mtfr1
1157,Tomm5
1158,Ftl1
1159,Rn45s
